"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"8"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	9.875	0.875	130.5	20183.375	4.86292164314873
"8"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	10.1818181818182	0.909090909090909	146.090909090909	17970.9090909091	4.96485353817326
"8"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	199.875	23219.625	5.26570396413631
"8"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	145.615384615385	16371.6153846154	4.96093269534995
"8"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	138.3	18893.3	4.91883302506177
"8"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	178.076923076923	18413.4615384615	5.14553531230075
"8"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	214	21487.8	5.30917665596981
"8"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	128.5	21352.75	4.85319785542915
"8"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	11.2666666666667	0.933333333333333	147.4	17421	4.97859185035175
"8"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	1	0	188	493	5.23644196282995
"8"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	322.5	24243	5.55837744535631
"8"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	7.4	0.6	197.8	19799.6666666667	5.26248536250835
"8"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	334	259	5.8111409929767
"8"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	200	940	5.29831736654804
"8"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	10.5263157894737	0.947368421052632	150.105263157895	18653.7894736842	4.99316882181266
"8"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	12	1	239	725	5.47646355193151
"8"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	8.52631578947368	0.684210526315789	199.157894736842	21314.4210526316	5.24777321795318
"9"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	222.583333333333	23557.8333333333	5.37191806735418
"9"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	279.75	26750	5.57593809505371
