sub	cell	channel	early_mean	late_mean	switch	incongruency	coronal	sagittal	SC_RT	CE_RT	old_IAT	IAT_2003
8	incongruent_stay	CP3	-2.554349	-2.671938	0	1	3	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	CPZ	-3.026628	-3.877666	0	1	3	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	CZ	-3.060478	-3.896975	0	1	2	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	FC4	-5.90537	-1.161931	0	1	1	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	C3	-5.880315	-3.378798	0	1	2	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	FCZ	-9.974631	-5.336132	0	1	1	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	FZ	-9.988039	-5.33328	0	1	0	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	F4	-8.344176	-3.437219	0	1	0	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	FC3	-8.647635	-4.676653	0	1	1	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	F3	-8.961789	-3.97106	0	1	0	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	PZ	1.421592	-0.990104	1	1	4	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	P4	6.88528	0.487516	1	1	4	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	CP4	4.216682	1.070518	1	1	3	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	C4	0.371148	0.749848	1	1	2	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	P3	4.192472	-2.087797	1	1	4	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	CP3	0.080691	-2.195957	1	1	3	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	CPZ	1.386413	-0.99191	1	1	3	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	CZ	1.391073	-0.982736	1	1	2	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	FC4	-3.411002	-0.828493	1	1	1	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	C3	-2.383742	-2.518588	1	1	2	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	FCZ	-7.151652	-4.226678	1	1	1	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	FZ	-7.11348	-4.1877	1	1	0	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	F4	-5.617511	-2.014472	1	1	0	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	FC3	-5.366049	-4.396839	1	1	1	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_switch	F3	-6.275328	-4.015228	1	1	0	0	72.6511	164.5831	0.266967441	0.8665065
9	congruent_stay	PZ	3.134162	4.282316	0	0	4	1	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	P4	3.942575	4.592053	0	0	4	2	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	CP4	2.740432	3.957178	0	0	3	2	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	C4	1.817767	2.848694	0	0	2	2	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	P3	4.955877	5.22201	0	0	4	0	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	CP3	2.927784	3.849287	0	0	3	0	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	CPZ	2.253522	3.790483	0	0	3	1	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	CZ	2.013144	3.022921	0	0	2	1	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	FC4	1.496099	2.362951	0	0	1	2	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	C3	2.087892	2.777645	0	0	2	0	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	FCZ	1.694242	2.147218	0	0	1	1	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	FZ	0.813333	0.877983	0	0	0	1	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	F4	0.669237	1.199935	0	0	0	2	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	FC3	1.606049	1.57226	0	0	1	0	181.27775	262.83935	0.139179477	0.7678545
9	congruent_stay	F3	0.778689	0.408596	0	0	0	0	181.27775	262.83935	0.139179477	0.7678545
9	congruent_switch	PZ	3.950345	6.080411	1	0	4	1	181.27775	262.83935	0.139179477	0.7678545
